province,name,age,circum,height,latlong,details
เชียงราย,11.สมพงยักษ์,200 ปี,30 เมตร,35 เมตร,"19.930050, 99.718921","        กลางหมู่บ้านชาวเขาเผ่ากระเหรี่ยง บ้านห้วยปูพัฒนา หมู่ที่ ๘  มีต้นสมพงหรืองุ้นยักษ์ อายุกว่า ๒๐๐ ปี ยืนต้นตระหง่าน ขนาด ๒๙ คนโอบ มีลักษณะพิเศษ คือ มีขนาดเส้นรอบวง ๓๐ เมตร ความสูง ๓๕ เมตร และที่โคนต้นมีพูพอนหรือรากมหัศจรรย์ แผ่ออกมาคล้ายปีกสูงเกือบ ๒ เมตรไปรอบๆ   
       ต้นงุ้นยักษ์นี้เกิดขึ้นตามธรรมชาติ  และอยู่ในจุดที่มีความอุดมสมบูรณ์และมีความหลากหลายของธรรมชาติมากที่สุดแห่งหนึ่ง ของเส้นทางสายห้วยปูพัฒนา – ยางคำนุ  ในจังหวัดเชียงราย  
       ปัจจุบัน  ชาวบ้านช่วยกันดูแลอนุรักษ์ต้นไม้นี้ไว้ และกลายเป็นจุดดึงดูดให้นักท่องเที่ยวมาชื่นชมความงามและความยิ่งใหญ่ 
"
ลำปาง,12. สมพงแห่งศรัทธา,282 ปี,ไม่ระบุ,ไม่ระบุ,"18.771825, 99.957567","        ต้นสมพง หรืองุ้นเก่าแก่ขนาดใหญ่ อายุกว่า ๒๘๒ ปี ยืนต้นตระหง่านอยู่ ณ บ้านทุ่งศาลา หมู่ที่ ๑ ตำบลนาแก อำเภองาว จังหวัดลำปาง  เป็นต้นไม้แห่งศรัทธาของชุมชนเพราะมีประวัติความเป็นมาเกี่ยวพันกับประวัติศาสตร์ 
       จากประวัติที่จารึกไว้ ณ อนุสรณ์สถาน ฯ ระบุว่า พ่อขุนงำเมืองแห่งเมืองพยาวได้ยกทัพมาช่วยเมืองเงิน (งาวในปัจจุบัน) ให้รอดพ้นจากเงี้ยวถึงสองครั้งในพุทธศักราช ๑๘๕๐ และพุทธศักราช ๑๘๕๖ ครั้งสุดท้ายพ่อขุนงำเมืองถูกฟันได้รับบาดเจ็บสาหัสและสิ้นพระชนม์ ณ บ้านทุ่งศาลาแห่งนี้ โดยชาวบ้านเชื่อว่าสิ้นพระชนม์ใต้ต้นไม้ใหญ่แห่งนี้
       ปัจจุบัน ต้นสมพงหรือต้นงุ้นนี้ จึงเป็นส่วนหนึ่งในความเชื่อและศรัทธาของชุมชน 
"
กระบี่,13. สมพงผึ้งหลวง ,100 ปี,34 เมตร,30 เมตร,"8.240642,  98.913713","      ณ อุทยานแห่งชาติเขาพนมเบญจา จังหวัดกระบี่ ผืนป่าที่บางคนเปรียบว่าดั่ง “หลังคา” ของเมืองกระบี่ มีต้นสมพงหรือที่ชุมชนเรียกอีกชื่อหนึ่งว่า มันช้าง อายุ ๑๐๐ กว่าปี มีขนาดใหญ่กว่า ๑๕ คนโอบ แผ่พูพอนหรือรากมหัศจรรย์เป็นปีกออกไปทุกทิศทาง เพื่อช่วยค้ำยันลำต้นที่สูงลิ่วอย่างน่าตื่นตาตื่นใจ วัดเส้น รอบวงได้ ๓๔ เมตร และสูงกว่า ๓๐ เมตร ให้ร่มเงาร่มรื่น เมื่อมองสูงขึ้นไปตามคาคบน้อยใหญ่ จะพบผึ้งหลวงอาศัยทำรังขนาดใหญ่เป็นจำนวนมาก ต้นสมพงต้นนี้ ค้นพบครั้งแรกเมื่อมีการจัดตั้งอุทยาน ฯ ในปี พ.ศ. ๒๕๒๓ 
     ปัจจุบันเป็นจุดหนึ่งในเส้นทางท่องเที่ยวที่ผู้คนนิยมมาชมความยิ่งใหญ่ของธรรมชาติ
"
นราธิวาส,14. สมพงภูเขาทอง,100 ปี,25 เมตร,30 เมตร,"5.807159, 101.741005","    ห่างจากหน่วยพิทักษ์ภูเขาทอง ซึ่งเป็นหน่วยย่อยของเขตรักษาพันธุ์สัตว์ป่าฮาลา – บาลา เพียง ๑๐๐ เมตร ซึ่งเป็นจุดที่ผู้มาเยือนจะได้สัมผัสกับป่าดงดิบที่สมบูรณ์ที่สุดในประเทศไทยอย่างใกล้ชิด มีต้นสมพงหรือที่ชาวบ้านเรียกว่า “กะพงยักษ์”อายุมากกว่า ๑๐๐ ปียืนตระหง่านอยู่ สมพงต้นนี้ วัดขนาดเส้นรอบวงได้ ๒๕ เมตร ขนาด ๒๗ คนโอบ และความสูง ๓๐ เมตร ความสูงของพูพอนหรือรากมหัศจรรย์ถึง ๔ เมตร ตั้งอยู่ในเขต อำเภอสุคิริน จังหวัดนราธิวาส 
     สมพงต้นนี้ถูกค้นพบเมื่อวันที่ ๑๙ ตุลาคม ๒๕๔๓ เมื่อครั้งสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ ในพระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช ทรงเยี่ยมราษฎรตำบลภูเขาทอง อำเภอสุคิริน จังหวัดนราธิวาส
      ปัจจุบัน ยังอยู่ในป่าดงดินสมบูรณ์  และเป็นความภูมิใจผู้รักป่าและสิ่งแวดล้อม
"
ยะลา,15. สมพงยักษ์ใหญ่,"1,000ปี",50.80 เมตร,30 เมตร,"5.856371, 101.235391","        หนึ่งในหลายสิ่งอันเป็น “ที่สุด” ของยะลา และดึงดูดนักท่องเที่ยวให้มาเยือน คือ ต้นสมพงขนาดที่ใหญ่มหึมาวัดเส้นรอบวงได้ ๕๐.๘๐ เมตร และความสูงกว่า ๓๐ เมตร อายุ ๑,๐๐๐ ปีขึ้นไป ตั้งตระหง่านอยู่ภายในหมู่บ้านจุฬาภรณ์พัฒนา ๑๐ อำเภอเบตง  จังหวัดยะลา ซึ่งถือเป็นต้นไม้ใหญ่ที่สุดในภาคใต้  มีขนาด ๕๐ คนโอบ
       เป็นต้นไม้ที่เกิดขึ้นตามธรรมชาติในป่าภาคใต้ อันอุดมสมบูรณ์ไปด้วยป่าไม้หลากหลายพันธุ์ 
        ปัจจุบันต้นสมพงยักษ์ใหญ่ หรือที่เรียกกันว่า ต้นสมพงเบตง เป็นหมุดหมายหนึ่งของนักท่องเที่ยว สามารถสร้างความตื่นตะลึงและประทับใจแก่ผู้มาเยือนได้เสมอ

"
พิจิตร,16. ตะเคียนนางไม้,400 ปี,11.50 เมตร,50 เมตร,"16.524096, 100.269951","     ณ วัดหงส์  อำเภอเมือง จังหวัดพิจิตร มีต้นตะเคียนใหญ่ยักษ์ ยืนต้นอยู่ทางทิศเหนือของวัด  ห่างจากฝั่งตะวันออกของลำน้ำน่านประมาณ  ๕๐๐ เมตร  ว่ากันว่ามีอายุราว ๔๐๐ ปี  มีเส้นรอบวง ๑๑.๕๐ เมตร สูง ๕๐ เมตร ลำต้นสูงตรงแผ่กิ่งก้านสง่างาม  แต่เดิมเรียกต้น “ต้นแม่โหงแม่นาง” เพราะเชื่อกันว่ามีนางไม้สถิต 
     จากประวัติวัด เล่าว่า เมื่อสมัยสงครามไทยสู้รบกับพม่าในอดีต ขณะที่บ้านเมืองระส่ำระสาย มีหัวหน้าหมู่บ้านคนหนึ่งชื่อ”จางวางเหม็ง” ได้อพยพครอบครัวและบริวารชาวบ้านเชือกจากพระนครศรีอยุธยา มาตั้งรกรากอยู่ที่บ้านวัดหงส์ใกล้ๆกับต้นตะเคียนใหญ่ ทางฝั่งตะวันออกของลำน้ำน่าน  ต้นตะเคียนใหญ่นั้นก็คือ ต้นแม่โหงแม่นาง ต้นนี้  
   ปัจจุบัน ต้นตะเคียนแม่โหงแม่นางต้นนี้  เป็นศูนย์รวมความเคารพนับถือของชุมชน วัดและชุมชนจึงร่วมกันจัดการบวงสรวงในช่วงเดือน ๖ ของทุกปี 
"
ระยอง,17. ตะเคียนงาม,400 ปี,7.40 เมตร,20 เมตร,"12.710131, 101.707732","    ในวัดตะเคียนงาม  ตำบลปากน้ำประแสร์  อำเภอแกลง จังหวัดระยอง  มีต้นตะเคียนใหญ่ ๒ ต้น อายุกว่า ๔๐๐ ปี มีลำต้นสูงตะหง่าน ชาวบ้านเรียกว่า ต้นตะเคียนเจ้าแม่และต้นตะเคียนเจ้าพ่อ  ต้นเจ้าแม่มีขนาดเส้นรอบวง ๗.๔๐ เมตร  สูงประมาณ ๒๐ เมตร มีลักษณะเป็นกิ่งเดียวขึ้นไป เนื่องจากเคยมีกิ่งสาขาหักลงมากิ่งหนึ่ง  ต้นตะเคียนต้นเจ้าแม่นี้เชื่อกันว่า เคยมีโอ่งน้ำใส่น้ำไว้ให้ผู้สัญจรผ่านมาดื่มกิน แต่ต่อมาได้แตกรากมหัศจรรย์คลุมโอ่งน้ำนั้นไว้ภายใน  ส่วนต้นเจ้าพ่อมีขนาดเส้นรอบวง  ๕.๖๐ เมตร สูงประมาณ ๒๐ เมตรเช่นกัน แต่มีพุ่มกว้างกว่า ต้นตะเคียนคู่นี้นอกจากจะเป็นสัญลักษณ์สำคัญของวัดตะเคียนงามแล้ว ด้วยความสูงใหญ่โดดเด่นเห็นได้ในระยะไกล ในอดีตจึงเป็นหมุดหมายสำคัญในการนำเรือเข้าฝั่งของชาวประมงด้วย
    จากประวัติวัด กล่าวว่า สมัยก่อนชาวตำบลปากน้ำประแสร์ ต้องเดินทางโดยทางเรือไปบำเพ็ญกุศลที่วัดประชุมคงคา นับว่าเป็นหนทางที่ยากลำบากมาก ในปี พ.ศ.๒๔๐๙ จึงได้มีผู้บริจาคเงินก่อสร้างวัดและให้ชื่อว่า ""วัดตะเคียนงาม"" โดยถือสัญลักษณ์ตะเคียนใหญ่ ๒ ต้น มาตั้งเป็นชื่อวัด นั่นหมายความว่า ต้นตะเคียนงามจึงมีมาก่อน ปี พ.ศ. ๒๔๐๙ และเป็นสัญลักษณ์สำคัญของวัดตะเคียนงามมาจนถึงทุกวันนี้  
    ปัจจุบัน ต้นตะเคียนงามคู่นี้กลายเป็นหมุดหมายสำคัญของนักท่องเที่ยวที่มาเยือนปากน้ำประแสร์ จังหวัดระยอง
"
นครราชสีมา,18. ตะเคียนทองพันปี,"1,000 ปี",12 เมตร,50 เมตร,"14.216690, 101.901246","      ในพื้นที่อำเภอเสิงสาง จังหวัดนครราชสีมา  มีต้นตะเคียนทองยักษ์ต้นหนึ่ง อายุกว่า ๑,๐๐๐ ปี มีขนาด ๑๓ คนโอบ เส้นรอบวงประมาณ ๑๒ เมตร และสูงประมาณ ๕๐ เมตร กรมป่าไม้ได้ขึ้นบัญชีให้เป็นพันธุ์ไม้ตะเคียนทองที่ใหญ่ที่สุดในประเทศไทย นับเป็นความภาคภูมิใจของชาวอำเภอเสิงสาง จังหวัดนครราชสีมา
      ชุมชนเล่าว่า เมื่อ พ.ศ. ๒๕๓๙ ได้มีผู้ค้นพบต้นตะเคียนทองอายุกว่าพันปีต้นนี้ในอุทยานแห่งชาติทับลาน อำเภอเสิงสาง จังหวัดนครราชสีมา ต่อมา พ.ศ. ๒๕๔๐ ชุมชนได้ร่วมกันจัดพิธีบวชต้นตะเคียนทองต้นนี้ อันเป็นการนำวัฒนธรรมความเชื่อและศรัทธามาเป็นกุศโลบายในการอนุรักษ์ผืนป่าให้ยั่งยืน  ซึ่งนำไปสู่การจัดพิธีบวงสรวงเจ้าแม่ต้นตะเคียนทองเป็นประจำทุกปีในลำดับต่อมา
      ปัจจุบัน  ชุมชนยังคงจัดพิธีบวงสรวงเจ้าแม่ต้นตะเคียนทองเป็นประจำทุกปี
"
กรุงเทพมหานคร,19. ตะเคียน ทองเรือรบ,200 ปี,4.50 เมตร,20 เมตร,"13.749134,100.497357","       ต้นตะเคียนทองขนาดใหญ่  ๕ ต้น บนถนนเลียบริมคลองคูเมืองเดิม หน้าวัดราชบพิธสถิตมหาสีมารามราชวรวิหาร  กรุงเทพมหานคร มีขนาดใหญ่โต วัดเส้นรอบวงโดยเฉลี่ยต้นละ ๔.๕๐ เมตร และมีขนาดความสูงที่สูงสุดวัดได้ ๒๐ เมตร  นับอายุได้กว่า ๒๐๐ ปี สร้างความตื่นใจแก่ผู้สัญจรไปว่า  กลางกรุงเทพมหานครยังมีต้นไม้โบราณขนาดใหญ่เช่นนี้ได้
      จากประวัติความเป็นมา  ต้นตะเคียนทองเหล่านี้ปลูกมาตั้งแต่สมัยรัชกาลที่ ๑ เพื่อนำไปทำเป็นเรือรบสำหรับใช้ในราชการสงคราม  ในอดีตมีเป็นจำนวนมากเรียงรายไปสองข้างถนน  แต่ถูกตัดไปใช้งานจนเหลือเพียง ๕ ต้นเท่านั้น
      ปัจจุบัน  ทางกรุงเทพมหานครก็ได้อนุรักษ์ต้นตะเคียนทองเหล่านี้ไว้เป็นอย่างดี  และนับได้ว่าเป็นต้นไม้ประวัติศาสตร์ของกรุงเทพมหานครและประเทศไทย
"
ปราจีนบุรี,20. โพธิ์ศรีมหาโพธิ์,"2,000 ปี",20 เมตร,30 เมตร,"13.888746, 101.422527","ณ กลางลานกว้างของวัดต้นโพธิ์ศรีมหาโพธิ์  ปราจีนบุรี ต้นโพธิ์ขนาดใหญ่โดดเด่นแผ่กิ่งก้านสาขาให้ร่มเงาร่มรื่น    มีขนาดเส้นรอบวง ๒๐ เมตร สูง ๓๐ เมตร มีเส้นผ่านศูนย์กลาง ๒๕ เมตร เชื่อกันว่าต้นโพธิ์ต้นนี้เป็นหน่อจากต้นพระศรีมหาโพธิ์ที่พระสัมมาสัมพุทธเจ้าเคยประทับนั่งขณะตรัสรู้ เป็นต้นโพธิ์ทีมีและมีอายุเก่าแก่ที่สุดในประเทศไทย คือกว่า ๒,๐๐๐ ปี  นับเป็นต้นไม้สัญลักษณ์ประจำจังหวัดปราจีนบุรี
  ตามตำนานและประวัติวัดต้นศรีมหาโพธิ์ เล่าว่า เมื่อราว พ.ศ.๕๐๐ พระเจ้าทวานัมปะยะดิษฐ์ เจ้าครองเมืองศรีมโหสถในสมัยขอมเรืองอำนาจทรงเลื่อมใสในพุทธศาสนา จึงได้ส่งคณะทูตเดินทางไปขอกิ่งต้นโพธิ์จากพระศรีมหาโพธิ์ พุทธคยาประเทศอินเดีย ซึ่งเป็นต้นโพธิ์ที่พระพุทธเจ้าทรงประทับบำเพ็ญธรรมจนสำเร็จตรัสรู้ เป็นสัมมาสัมพุทธเจ้า จากเจ้าผู้ครองนครปาตุลีบุตร ประเทศอินเดีย  และนำมาปลูกไว้ที่นี่ในสมัยนั้น 
 ปัจจุบัน ทางวัดได้จัดทำระเบียงคตซึ่งประดิษฐานพระพุทธรูปปางต่างๆ ล้อมรอบต้นพระศรีมหาโพธิ์ ทำให้ยิ่งดูสง่างามน่าศรัทธา  และในวันสำคัญทางพุทธศาสนาจะมีงานนมัสการต้นพระศรีมหาโพธิ์ทุกปี
"
ระยอง,21. โพธิ์สามต้น,250 ปี,16 เมตร,20 เมตร,"12.764227, 101.808874","ต้นโพธิ์ใหญ่สามต้นภายในวัดกองดิน จังหวัดระยอง ยืนต้นเรียงรายแผ่กิ่งก้านใบให้ความร่มรื่นมานานกว่า ๒๕๐ ปี แต่ละต้นวัดขนาดเส้นรอบวงได้ประมาณ ๑๖ เมตร สูงประมาณ ๒๐เมตร  เป็นเสมือนสัญลักษณ์สำคัญให้น้อมสำนึกในพระมหากรุณาธิคุณของสมเด็จพระเจ้าตากสินมหาราช
 จากประวัติของวัดระบุว่ากองทัพของพระยาตาก ได้มาตั้งค่ายหยุดพักทัพม้าทัพช้างและไพร่พลอยู่ที่บริเวณวัดเพื่อทำการตำดินปืน รวบรวมสะสมไว้ใช้ในการออกศึกสงครามและได้อธิษฐานจิตปลูกโพธิ์สามต้นไว้เพื่อเป็นอนุสรณ์อีกทั้งเป็นกุศโลบายเรียกขวัญและกำลังใจให้เหล่าทหารฮึกเหิมก่อนออกทัพสู้กับพม่าที่เมืองจันทบูร
ปัจจุบัน ต้นโพธิ์สามต้น ยังยืนเด่นเป็นศูนย์รวมความศรัทธาและเป็นที่ยึดเหนี่ยวทางจิตใจของผู้คนทั้งในจังหวัดระยองและในภาคตะวันออกมาโดยตลอด
"
อ่างทอง,22. โพธิ์ล้อมโบสถ์,400 ปี,ไม่ระบุ,ไม่ระบุ,"14.603032, 100.438307","ณ โบสถ์วัดสังกระต่าย จังหวัดอ่างทอง มีโพธิ์ขนาดใหญ่ ๔ ต้น ขึ้นปกคลุมรอบโบสถ์ แผ่รากชอนไชประสานกันทั้งภายนอกและภายในยึดผนังโบสถ์โบราณทั้งหลังไว้อย่างแน่นหนาและงดงาม ลำต้นแตกแขนงกิ่งก้านให้ร่มเงาเสมือนทำหน้าที่แทนหลังคาโบสถ์ที่ผุพังไปตามกาลเวลา สร้างความอัศจรรย์ใจแก่ผู้พบเห็นเป็นอย่างยิ่ง  คาดว่าทั้งโบสถ์และต้นโพธิ์สี่ต้นน่าจะมีอายุประมาณ ๔๐๐ ปี
สันนิษฐานว่าวัดนี้สร้างขึ้นสมัยอยุธยาตอนต้น เมื่อ ๔๐๐ ปีมาแล้ว และถูกทิ้งร้างมาประมาณ ๒๐๐ กว่าปี  นับแต่เสียกรุงศรีอยุธยาครั้งที่ ๒  ทั้งนี้ กรมศิลปากรได้ขึ้นทะเบียนโบสถ์วัดสังกระต่าย จังหวัดอ่างทอง เป็นโบราณสถานลำดับที่ ๑๐๙ ของภาคกลางแล้ว
ปัจจุบันโพธิ์ล้อมโบสถ์และโบสถ์วัดสังกระต่ายเป็นสถานที่ท่องเที่ยวของจังหวัดอ่างทอง  เหมาะแก่การศึกษาเรียนรู้ทั้งเรื่องพฤกษศาสตร์และประวัติศาสตร์
"
กรุงเทพมหานคร,23. โพธิ์ประวัติศาสตร์,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,"13.765097, 100.490946","ต้นโพธิ์ขนาดใหญ่กลางลานที่มีตึกล้อม ภายในมหาวิทยาลัยธรรมศาสตร์  กรุงเทพมหานคร เป็นต้นโพธิ์ที่มีบทบาทในประวัติศาสตร์การเมืองของไทย  พื้นที่โดยรอบต้นโพธิ์ต้นนี้ถูกเรียกว่า ลานโพธิ์ เป็นพื้นที่ทางประวัติศาสตร์และการเมืองเพื่อการต่อสู้เรียกร้องรัฐธรรมนูญและประชาธิปไตยของนักศึกษาธรรมศาสตร์และประชาชน รวมทั้งการเรียกร้องอื่น ๆ หลายครั้ง
 มีการบันทึกไว้ว่า โพธิ์ต้นนี้ น่าจะเป็นต้นไม้ที่ติดมากับที่ดินตั้งแต่ซื้อมาจากกระทรวงกลาโหม และมีอายุแก่กว่ามหาวิทยาลัยธรรมศาสตร์ ซึ่งสถาปนาขึ้นเมื่อ พ.ศ.๒๔๗๗   จึงนับอายุได้เกือบร้อยปี 
 ปัจจุบัน โพธิ์ต้นนี้ยังเป็นศูนย์รวมของการต่อสู้เรียกร้องของนักศึกษามหาวิทยาลัยตามวาระโอกาส 
"
นครราชสีมา,24. ไทรงาม,350 ปี,9 เมตร,35 เมตร,"15.227286, 102.502728","ไทรย้อย หรือ ที่นิยมเรียกว่า “ไทรงาม”อยู่ในพื้นที่โครงการส่งน้ำและบำรุงรักษาทุ่งสัมฤทธิ์ อำเภอพิมาย จังหวัดนครราชสีมา เป็นลานไทรห้อยย้อยร้อยเกี่ยวพันกันครอบคลุมพื้นที่กว่า ๓๕,๐๐๐ ตารางฟุต โดยต้นที่ใหญ่ที่สุด มีขนาดเส้นรอบวง ๙ เมตร ความสูง ๓๕ เมตร  นับอายุกว่า ๓๕๐ ปีมาแล้ว ที่ไทรย้อยเหล่านี้แผ่กิ่งก้านสาขาออกรากเจริญเติบโตเป็นต้นใหม่มากมาย ทุกลำต้น ราก กิ่งก้านและใบ สอดประสานเกี่ยวพันกันจนเกิดเป็นคูหาแห่งแสงเงาขนาดใหญ่ดูงดงามวิจิตร เป็นความมหัศจรรย์ทางธรรมชาติที่เหนือคำบรรยาย
นับเป็นเวลา ๑๐๐ กว่าปีมาแล้ว ที่ไทรงามแห่งนี้เริ่มเป็นที่รู้จักและมีชื่อเสียง  บันทึกไว้ว่านับตั้งแต่สมเด็จพระศรีพัชรินทราบรมราชินีนาถ ในพระบาทสมเด็จพระจุลจอมเกล้าฯ รัชกาลที่ ๕ ได้เสด็จฯ ประพาสเมืองพิมาย เมื่อวันที่ ๒๑ มกราคม ๒๔๕๔ และได้พระราชทานนามว่า “ไทรงาม”
ปัจจุบัน ไทรงาม เป็นสถานที่ท่องเที่ยวสำคัญแห่งหนึ่งของจังหวัดนครราชสีมา
"
พังงา,25. ไทรย้อยชายน้ำ,200 ปี,2 เมตร,20 เมตร,"8.876397,98.342107","ต้นไทรย้อยใบทู่โบราณขนาดใหญ่ มีอายุกว่า ๒๐๐ ปี แผ่ขยายกิ่งก้านสาขาโอบกอดทอดยาวเป็นรูปอุโมงค์ รากของต้นไทรจำนวนมากทอดตัวลงสู่สายน้ำ สลับกับไม้อื่นๆ ทำให้บรรยากาศโดยรวมคล้ายป่าดงดิบในอะเมซอนจึงเป็นที่มาของชื่อ“ลิตเติ้ลอะเมซอน”ที่ทรงเสน่ห์ สร้างความหลงใหลแก่ผู้มาเยือนคลองสังเน่ห์ อำเภอตะกั่วป่า จังหวัดพังงา 
 ข้อมูลจากชาวชุมชนคลองสังเน่ห์ ระบุว่า คลองสังเน่ห์ เป็นผืนป่าเล็กๆ ที่เต็มไปด้วยความหลากหลายทางชีวภาพ  สองฝั่งคลองเต็มไปด้วยต้นไทรและไม้ชายน้ำที่มีรากขึ้นเกาะเกี่ยวกันอย่างหนาแน่น ต้นไทรที่มีขนาดใหญ่สุด วัดขนาดเส้นรอบวงกว่า ๒ เมตร สูงกว่า ๒๐ เมตร ที่นี่มีความพิเศษของระบบนิเวศน์ทั้งน้ำจืดและน้ำเค็มผสมกัน 
ปัจจุบันเป็นที่นิยมของนักท่องเที่ยวเชิงนิเวศน์ที่นั่งเรือเข้ามาชมความสมบูรณ์ของป่าและสัตว์หลายประเภท เช่น นกเงือก งู เป็นต้น ชาวบ้าน และองค์กรท้องถิ่นต่างร่วมมือกันสร้างความรู้ความเข้าใจในการพัฒนาควบคู่กับการอนุรักษ์ทรัพยากรธรรมชาติและสิ่งแวดล้อมให้มีความยั่งยืนและนำมาซึ่งรายได้ให้แก่ชุมชนและจังหวัด
"
ยะลา,26. ไทรปิยะมิตร,ไม่ระบุ,60.8 เมตร,40 เมตร,"5.891988, 101.048453","ต้นไทรยักษ์ ณ บ้านอุโมงค์ปิยมิตร ๑  ตำบลตะเนาะแมเราะ อำเภอเบตง  จังหวัดยะลา วัดเส้นรอบวงได้ ๖๐.๘ เมตร สูง ๔๐ เมตร ยืนตระหง่านท่ามกลางป่าทึบ  บริเวณโคนต้นมีรากมหัศจรรย์ หรือ พูพอน แผ่ออกมาราวกับปีกที่กางออก มีขนาดสูงใหญ่ กลายเป็นไม้ค้ำยันต้นให้มั่นคงแข็งแรง และช่วยดูดซับน้ำ ทำให้ลำต้นยิ่งดูอลังการเก่าแก่โบราณ ชุมชนจึงเรียกอีกชื่อหนึ่งในเชิงเปรียบเทียบว่า “ต้นไม้พันปี”
 ต้นไทรยักษ์นี้ ในอดีตเคยเป็นต้นไม้อำพรางทางเข้าอุโมงค์ปิยะมิตร อันเป็นอุโมงค์หลบซ่อนตัวในการทำสงครามต่อสู้กับรัฐของโจรจีนคอมมิวนิสต์มลายา 
 ปัจจุบัน  อุโมงค์ปิยะมิตรและต้นไทรยักษ์กลายเป็นสถานที่ท่องเที่ยวของชุมชน  นับเป็นอนุสรณ์สถานที่มีคุณค่าทางประวัติศาสตร์  เป็นแหล่งเรียนรู้และแหล่งท่องเที่ยวที่อันเป็นมรดกทางวัฒนธรรมที่สำคัญของท้องถิ่น
"
กาญจนบุรี,27. กร่างศาลเจ้า,320 ปี,18 เมตร,25 เมตร,"13.920578, 99.760672","กร่างต้นนี้ ลำต้นขนาดกว่า ๒๗ คนโอบ ยืนต้นอยู่ริมแม่น้ำแม่กลอง อำเภอท่ามะกา จังหวัดกาญจนบุรี วัดเส้นรอบวงประมาณ ๑๘ เมตร สูงประมาณ ๒๕ เมตร  แต่ละกิ่งเหมือนกับโคนต้นไม้ขนาดใหญ่ แผ่กิ่งก้านสาขารอบบริเวณ โอบคลุมตัวศาลเจ้าเก่าแก่สมัยกรุงศรีอยุธยา คนท้องถิ่นจึงเรียกกันว่า “ศาลเจ้าตึกในโพรงไม้”
 กรมศิลปากรได้ตรวจวิเคราะห์อิฐแดงและอิฐมอญของศาลเจ้า พบว่าอยู่ในสมัยอยุธยาตอนปลาย จึงสันนิษฐานได้ว่าต้นไม้ดังกล่าวน่าจะมีอายุไม่น้อยกว่า ๓๒๐ ปี มีเรื่องเล่าต่อๆกันมาในชุมชนว่า ในสมัยก่อนมีการค้าขายทางเรือ  พ่อค้าแม่ค้ามักจะแวะมาสักการะสิ่งศักดิ์สิทธิ์ที่ศาลเจ้า และขอพรให้เดินทางปลอดภัย ค้าขายราบรื่นประสบความสำเร็จ 
ปัจจุบันยังเป็นศูนย์รวมความเชื่อความศรัทธาของประชาชน และมีการจัดงานทำบุญในวันที่ ๑๓ เมษายน เป็นประจำทุกปี
"
กรุงเทพมหานคร,28. กร่างศิลปากร,ไม่ระบุ,15 เมตร,25 เมตร,"13.752916, 100.490240","ต้นกร่างขนาดใหญ่ตระหง่านเบียดตัวแทรกอยู่ท่ามกลางอาคารเรียน หน้าคณะโบราณคดี มหาวิทยาลัยศิลปากร  วัดเส้นรอบวงได้ประมาณ ๑๕ เมตร และสูงประมาณ ๒๕ เมตร  เป็นที่คุ้นชินตาของนักศึกษา และประชาชนที่ผ่านไปผ่านมา 
 ข้อมูลจากมหาวิทยาลัยศิลปากร ระบุว่า กร่างต้นนี้ปลูกสมัยต้นกรุงรัตนโกสินทร์ ก่อนที่วังท่าพระจะเป็นมหาวิทยาลัยศิลปากร  เชื่อว่าอายุนับร้อยปีแต่ไม่มีใครทราบอายุที่แท้จริง   
ปัจจุบัน เป็นต้นไม้ใหญ่ประจำมหาวิทยาลัย  นักศึกษาบางคนให้ความเคารพเรียกว่า “ปู่กร่าง”
"
ลพบุรี,29. นิโครธคู่วัด,100 ปี,1.6 เมตร,5 เมตร,"14.960408, 100.566702","ณ วัดพานิชธรรมิการาม อำเภอบ้านหมี่ จังหวัดลพบุรี มีนิโครธต้นงามอายุกว่า ๑๐๐ ปี วัดเส้นรอบวง ได้ ๑.๖ เมตร และสูง ๕ เมตร รูปลักษณ์ลำต้นเป็นไปตามธรรมชาติของต้นนิโครธทุกประการคือลำต้นสง่างาม โดดเด่น และมีรากอากาศที่มีขนาดเกือบเท่ากับลำต้นจำนวนมากรายล้อมเป็นวง แลดูมหัศจรรย์  
ต้นนิโครธต้นนี้ หลวงปู่บุญเลี้ยง อดีตเจ้าอาวาสวัด เป็นผู้นำมาปลูก  โดยได้แรงบันดาลใจจากความเชื่อตามพุทธประวัติที่กล่าวว่าต้นนิโครธเป็นต้นไม้ที่ประทับของพระพุทธเจ้าหลังการตรัสรู้ถึง ๒ ช่วงคือ  เช้าวันขึ้น ๑๕ ค่ำเดือน ๖ ในสมัยพุทธกาล นางสุชาดาได้นำข้าวมธุปายาสมาถวายพระพุทธเจ้าที่ใต้ต้นนิโครธ ด้วยเข้าใจผิดคิดว่าเป็นรุกขเทวดา และเป็นต้นไม้ที่ประทับของพระพุทธเจ้าหลังการตรัสรู้ 
ปัจจุบัน เป็นต้นไม้คู่วัด  สร้างความร่มรื่นและประทับใจแก่ผู้มาเยือน
"
